EntrezID	Length	MCL1-LA_BC2CTUACXX_GATCAG_L001_R1
381306	2912	160
69962	1457	49
20339	2912	297
20343	2321	0
20344	3438	1012
100503816	1241	22
14067	7406	21
116914	3546	1226
74895	1896	273
66352	4035	862
171567	3011	385
11931	2422	4491
56429	1636	41
433374	1588	0
16963	502	0
69476	357	0
75857	998	0
83993	2662	1
108735	5526	2762
226591	4395	1029
240888	1943	13
74106	3306	1019
70456	854	912
271639	5209	19
68481	2356	2349
100503268	612	2
226594	2670	30
100503283	1514	0
433375	2125	763
12503	4604	1
18986	13123	477
240892	4025	2
59290	2293	2
98558	1546	2
100039795	8260	24
100503318	2514	9
27878	2145	575
71592	7372	1508
226601	1744	0
226604	3012	151
240894	3065	24
100503962	936	0
226610	4986	3
80914	1338	1209
68944	4474	858
100862084	376	0
56752	2833	1248
66447	635	541
240899	1137	0
100503977	287	2
20183	2363	2
110648	3338	1
18514	9027	2561
66977	2405	174
19737	1809	50
100862094	1412	27
19736	2941	41
78465	1440	1
15490	4574	554
67303	1135	2
18214	8290	36
107652	2283	2882
16589	2024	377
545378	399	0
622708	1691	4
26904	1433	4
665574	3833	1212
76925	713	9
70729	3684	382
320078	3095	262
226641	7463	2200
80915	1374	243
435653	1284	0
98752	1727	0
14130	1547	4
246256	1250	4
14131	1353	1
75472	1034	124
66052	1179	2060
17528	1993	27
66425	1575	8
12355	1414	2
641376	2920	432
11807	521	0
14127	658	3
226646	1606	2974
240913	3673	551
57370	1998	1282
19044	1821	567
30941	2185	404
66155	964	593
100862110	308	0
100504072	1662	4
21945	2733	596
27045	1374	370
18637	622	780
68874	1555	66
71740	3504	2447
226652	4488	6
22278	1822	339
226654	551	7
16456	2482	5715
56009	1273	39
16429	1140	4
18106	3758	0
17085	2449	0
75345	3977	0
12506	1142	0
100041098	195	532
27218	2688	1
12523	6253	1
100038548	2574	0
100862186	671	0
30925	2443	0
93840	2260	131
18071	2487	0
59287	2855	2540
12847	4629	5211
100504176	730	0
19298	3131	1088
98193	3743	2311
18611	2477	758
12372	1874	4
27222	3485	0
98660	6227	11
140559	2234	1812
16524	3270	2
16513	5407	0
67556	7569	1096
100862199	620	1
98365	1145	3
93842	4249	792
21346	1382	6726
71870	1822	75
71319	941	18
240916	1879	5
74748	2040	0
677296	1914	0
68440	1417	23
